#: table_doi: 10.17182/hepdata.95751.v1/t80
#: name: AuxFig 8c WZ Excl. Upper Limit Obs. Wino-bino(+) ($\Delta m$)
#: description:  Exclusion limits obtained for the $W\!Z$-mediated model, for the (1st and 2nd row) wino/bino (+) scenario, (3rd row) the wino/bino (-) scenario, and (4th row) the higgsino scenario, as in Figure 16. Black numbers represent the observed (a) and expected (b) upper cross-section limits.
#: data_file: auxfig_8c_wz_excl._upper_limit_obs._wino-binoplus_delta_m.yaml
#: keyword cmenergies: 13000
#: keyword reactions: P P --> CHARGINO+ NEUTRALINO2 X | P P --> CHARGINO- NEUTRALINO2 X
#: keyword phrases: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak
#: keyword observables: CLS
"$m(\tilde{\chi}_{1}^{\pm},\tilde{\chi}_{2}^{0})$ [GeV]","$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Observed Upper Limit on Cross Section [pb]
300.0,15.0,1.36
100.0,40.0,1.16
250.0,10.0,0.933
225.0,25.0,0.795
140.0,90.0,1.33
250.0,92.0,0.671
175.0,15.0,1.84
300.0,100.0,0.429
150.0,10.0,1.28
250.0,80.0,0.343
400.0,80.0,0.292
400.0,40.0,0.33
125.0,10.0,1.65
250.0,70.0,0.4
350.0,80.0,0.287
125.0,25.0,2.2
300.0,60.0,0.385
250.0,90.0,0.619
140.0,70.0,0.517
275.0,5.0,1.49
300.0,80.0,0.325
150.0,30.0,1.24
125.0,60.0,0.609
250.0,60.0,0.412
275.0,15.0,1.27
150.0,50.0,0.788
200.0,95.0,0.943
100.0,80.0,0.61
350.0,40.0,0.323
275.0,25.0,0.641
200.0,25.0,1.01
350.0,50.0,0.432
250.0,100.0,0.515
200.0,100.0,0.637
150.0,90.0,1.51
250.0,5.0,1.54
125.0,90.0,1.53
250.0,50.0,0.593
400.0,100.0,0.29
200.0,10.0,0.973
400.0,60.0,0.343
325.0,25.0,0.526
300.0,95.0,0.438
200.0,80.0,0.373
350.0,100.0,0.326
125.0,80.0,0.608
300.0,40.0,0.387
250.0,15.0,1.41
100.0,70.0,0.694
140.0,80.0,0.487
300.0,70.0,0.35
325.0,15.0,1.43
150.0,40.0,0.734
300.0,92.0,0.428
125.0,40.0,1.01
150.0,100.0,1.34
250.0,40.0,0.439
110.0,90.0,1.65
100.0,25.0,3.24
150.0,70.0,0.526
125.0,15.0,2.01
150.0,15.0,2.4
350.0,60.0,0.335
200.0,40.0,0.558
150.0,60.0,0.529
140.0,60.0,0.557
125.0,5.0,1.2
350.0,70.0,0.313
175.0,5.0,1.27
325.0,5.0,1.75
175.0,25.0,1.18
100.0,100.0,9.66
300.0,25.0,0.578
150.0,5.0,1.26
225.0,15.0,1.35
200.0,30.0,0.889
110.0,40.0,1.14
125.0,70.0,0.581
110.0,80.0,0.554
150.0,80.0,0.491
250.0,95.0,0.627
225.0,5.0,1.36
200.0,92.0,0.946
110.0,70.0,0.574
140.0,40.0,0.8
100.0,10.0,2.25
100.0,5.0,1.46
300.0,5.0,1.8
250.0,30.0,0.553
200.0,70.0,0.423
110.0,60.0,0.649
100.0,60.0,0.737
100.0,15.0,4.32
200.0,50.0,0.634
200.0,90.0,0.962
100.0,90.0,1.52
300.0,10.0,0.853
200.0,5.0,1.06
150.0,25.0,1.53
300.0,50.0,0.499
200.0,15.0,1.6
200.0,60.0,0.47
250.0,25.0,0.725

