#: table_doi: 10.17182/hepdata.95751.v1/t82
#: name: AuxFig 8e WZ Excl. Upper Limit Obs. Wino-bino(-) ($\Delta m$)
#: description:  Exclusion limits obtained for the $W\!Z$-mediated model, for the (1st and 2nd row) wino/bino (+) scenario, (3rd row) the wino/bino (-) scenario, and (4th row) the higgsino scenario, as in Figure 16. Black numbers represent the observed (a) and expected (b) upper cross-section limits.
#: data_file: auxfig_8e_wz_excl._upper_limit_obs._wino-binominus_delta_m.yaml
#: keyword cmenergies: 13000
#: keyword reactions: P P --> CHARGINO+ NEUTRALINO2 X | P P --> CHARGINO- NEUTRALINO2 X
#: keyword phrases: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak
#: keyword observables: CLS
"$m(\tilde{\chi}_{1}^{\pm},\tilde{\chi}_{2}^{0})$ [GeV]","$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Observed Upper Limit on Cross Section [pb]
300.0,15.0,1.29
350.0,90.0,0.372
200.0,2.0,69.7
100.0,40.0,1.64
250.0,10.0,0.708
250.0,3.0,8.88
100.0,1.0,1920.0
225.0,25.0,1.27
140.0,90.0,0.514
250.0,92.0,0.303
175.0,15.0,1.26
300.0,100.0,1.13
150.0,10.0,1.08
400.0,80.0,0.349
400.0,40.0,0.591
125.0,10.0,1.42
250.0,70.0,0.442
350.0,80.0,0.316
125.0,25.0,2.65
150.0,1.5,100.0
300.0,60.0,0.477
250.0,90.0,0.209
140.0,70.0,0.537
125.0,1.5,77.6
275.0,5.0,1.97
300.0,80.0,0.345
150.0,40.0,1.1
225.0,2.0,54.5
200.0,70.0,0.432
125.0,60.0,0.735
175.0,2.0,43.2
250.0,60.0,0.462
275.0,15.0,0.836
350.0,70.0,0.352
150.0,50.0,0.895
200.0,95.0,0.442
125.0,3.0,7.41
100.0,80.0,0.646
200.0,3.0,7.82
350.0,40.0,0.506
275.0,25.0,1.03
100.0,2.0,15.1
200.0,25.0,1.7
350.0,50.0,0.436
200.0,100.0,1.08
150.0,90.0,0.575
250.0,5.0,2.12
125.0,90.0,0.63
250.0,50.0,0.585
400.0,100.0,1.95
200.0,10.0,0.825
400.0,60.0,0.389
325.0,25.0,0.667
300.0,95.0,0.359
200.0,80.0,0.382
350.0,100.0,1.35
150.0,30.0,1.67
125.0,80.0,0.5
300.0,40.0,0.617
250.0,15.0,0.99
100.0,70.0,0.787
300.0,70.0,0.367
325.0,15.0,0.894
250.0,100.0,1.63
300.0,92.0,0.236
150.0,2.0,20.9
125.0,40.0,1.5
150.0,100.0,9.42
250.0,40.0,0.668
100.0,25.0,3.84
275.0,3.0,9.61
125.0,2.0,19.0
150.0,70.0,0.536
125.0,15.0,2.76
150.0,15.0,1.79
300.0,50.0,0.49
200.0,40.0,0.883
100.0,3.0,7.39
150.0,60.0,0.619
125.0,5.0,2.52
200.0,90.0,0.489
175.0,5.0,1.94
325.0,5.0,2.14
175.0,25.0,1.74
100.0,100.0,14.6
300.0,25.0,0.917
150.0,5.0,2.28
225.0,15.0,1.08
200.0,30.0,1.28
100.0,1.5,66.7
125.0,70.0,0.613
110.0,80.0,0.587
150.0,80.0,0.44
250.0,95.0,0.481
225.0,5.0,1.98
200.0,92.0,0.274
110.0,70.0,0.61
140.0,40.0,1.2
100.0,10.0,1.82
100.0,5.0,2.87
300.0,5.0,2.04
250.0,30.0,0.896
250.0,80.0,0.38
150.0,3.0,6.76
110.0,60.0,0.83
100.0,60.0,0.979
100.0,15.0,3.0
200.0,50.0,0.602
140.0,80.0,0.452
100.0,90.0,0.753
300.0,10.0,0.825
200.0,5.0,1.86
150.0,25.0,2.18
225.0,3.0,8.75
350.0,60.0,0.385
175.0,3.0,7.36
200.0,15.0,1.05
200.0,60.0,0.587
250.0,25.0,0.937

