#: table_doi: 10.17182/hepdata.95751.v1/t86
#: name: AuxFig 9a Wh Excl. Upper Limit Obs.
#: description:  Exclusion limits obtained for the $W\!h$-mediated model, for the wino/bino (+) scenario, as in Figure 17. The black numbers represent the observed (a,c,e,g) and expected (b,d,f,h) upper cross-section limits.
#: data_file: auxfig_9a_wh_excl._upper_limit_obs..yaml
#: keyword cmenergies: 13000
#: keyword reactions: P P --> CHARGINO+ NEUTRALINO2 X | P P --> CHARGINO- NEUTRALINO2 X
#: keyword phrases: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak
#: keyword observables: CLS
"$m(\tilde{\chi}_{1}^{\pm},\tilde{\chi}_{2}^{0})$ [GeV]",$m(\tilde{\chi}_{1}^{0})$ [GeV],Observed Upper Limit on Cross Section [pb]
150.0,0.0,3.71
152.5,22.5,3.86
162.5,12.5,3.45
165.0,35.0,3.64
175.0,0.0,2.91
175.0,25.0,2.96
177.5,47.5,3.52
187.5,12.5,2.52
187.5,37.5,2.92
190.0,60.0,3.42
200.0,0.0,2.18
200.0,25.0,2.3
200.0,50.0,2.53
202.5,72.5,3.26
212.5,37.5,2.11
212.5,62.5,2.54
225.0,0.0,1.67
225.0,25.0,1.8
225.0,50.0,1.92
225.0,75.0,2.44
237.5,62.5,1.75
250.0,0.0,1.38
250.0,100.0,2.17
250.0,25.0,1.41
250.0,50.0,1.54
250.0,75.0,1.8
275.0,0.0,1.18
275.0,25.0,1.2
275.0,50.0,1.24
275.0,75.0,1.37
300.0,0.0,0.987
300.0,100.0,1.25
300.0,25.0,1.02
300.0,50.0,1.03
300.0,75.0,1.15

