81.5,1.5,68
82,2,11
83,3,5.2
85,5,1.8
95,15,1.6
100,20,2.18
100,40,1.47
100,60,0.932
100,80,1
101,1,2710.0
101.5,1.5,73
102,2,11.5
103,3,4.18
105,5,1.5
110,10,0.803
110,30,2.07
115,15,1.27
120,20,1.83
120,40,1.29
125,80,0.78
126.5,1.5,80.5
127,2,12.8
128,3,4.01
130,5,1.36
130,30,1.74
135,10,0.604
140,15,1.14
140,40,0.932
140,60,0.69
145,20,1.45
150,50,0.7
150,80,0.59
152,2,15.1
153,3,3.72
155,5,1.37
155,30,1.39
160,10,0.557
160,60,0.544
165,15,0.934
165,40,0.67
170,20,1.28
178,3,4.26
180,5,1.18
180,30,0.985
185,10,0.515
185,60,0.53
190,15,0.796
190,40,0.573
195,20,1.14
200,50,0.523
200,80,0.47
202,2,24.9
203,3,3.65
205,5,1.37
210,10,0.467
210,60,0.482
215,15,0.799
220,20,1.07
230,5,1.32
230,30,0.718
235,10,0.505
240,15,0.863
240,40,0.46
250,50,0.424
250,80,0.43
253,3,4.73
255,5,1.31
260,10,0.588
260,60,0.443
265,15,0.777
270,20,0.975
280,30,0.666
290,40,0.331
300,50,0.38
300,80,0.39
310,60,0.386
350,80,0.36
360,60,0.341
