# Data is extracted by Sho Iwamoto from
# Figure 4 of https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-19/hepdata_info.pdf
# with the file creation date 2022-01-05T19:01:53+00:00.
Chargino lifetime [ns],Chargino mass [GeV],Acceptance times Efficiency
7.94E+00,100,2.40E-04
5.01E+00,100,3.70E-04
3.16E+00,100,5.80E-04
2.00E+00,100,7.50E-04
1.26E+00,100,9.30E-04
7.94E-01,100,1.20E-03
5.01E-01,100,1.40E-03
3.16E-01,100,1.30E-03
2.00E-01,100,9.90E-04
1.26E-01,100,6.70E-04
7.94E-02,100,3.40E-04
5.01E-02,100,1.30E-04
3.16E-02,100,3.60E-05
2.00E-02,100,5.60E-06
1.26E-02,100,5.20E-07
7.94E+00,200,7.30E-04
5.01E+00,200,1.10E-03
3.16E+00,200,1.80E-03
2.00E+00,200,2.40E-03
1.26E+00,200,3.00E-03
7.94E-01,200,3.40E-03
5.01E-01,200,3.40E-03
3.16E-01,200,2.90E-03
2.00E-01,200,2.00E-03
1.26E-01,200,1.10E-03
7.94E-02,200,4.70E-04
5.01E-02,200,1.50E-04
3.16E-02,200,3.20E-05
2.00E-02,200,3.40E-06
1.26E-02,200,1.60E-07
7.94E+00,300,1.40E-03
5.01E+00,300,2.10E-03
3.16E+00,300,3.10E-03
2.00E+00,300,4.00E-03
1.26E+00,300,4.60E-03
7.94E-01,300,5.00E-03
5.01E-01,300,4.60E-03
3.16E-01,300,3.60E-03
2.00E-01,300,2.40E-03
1.26E-01,300,1.20E-03
7.94E-02,300,3.80E-04
5.01E-02,300,8.50E-05
3.16E-02,300,1.10E-05
2.00E-02,300,5.10E-07
1.26E-02,300,8.20E-09
7.94E+00,400,2.40E-03
5.01E+00,400,3.40E-03
3.16E+00,400,4.40E-03
2.00E+00,400,5.70E-03
1.26E+00,400,6.60E-03
7.94E-01,400,6.30E-03
5.01E-01,400,5.70E-03
3.16E-01,400,4.30E-03
2.00E-01,400,2.80E-03
1.26E-01,400,1.20E-03
7.94E-02,400,3.60E-04
5.01E-02,400,7.10E-05
3.16E-02,400,7.70E-06
2.00E-02,400,3.90E-07
1.26E-02,400,1.10E-08
7.94E+00,500,2.60E-03
5.01E+00,500,3.80E-03
3.16E+00,500,5.50E-03
2.00E+00,500,6.90E-03
1.26E+00,500,7.80E-03
7.94E-01,500,7.40E-03
5.01E-01,500,6.40E-03
3.16E-01,500,4.50E-03
2.00E-01,500,2.80E-03
1.26E-01,500,1.10E-03
7.94E-02,500,2.80E-04
5.01E-02,500,4.50E-05
3.16E-02,500,3.80E-06
2.00E-02,500,1.00E-07
1.26E-02,500,6.10E-10
7.94E+00,600,3.20E-03
5.01E+00,600,4.50E-03
3.16E+00,600,5.70E-03
2.00E+00,600,7.20E-03
1.26E+00,600,8.20E-03
7.94E-01,600,8.70E-03
5.01E-01,600,7.40E-03
3.16E-01,600,5.10E-03
2.00E-01,600,2.80E-03
1.26E-01,600,1.20E-03
7.94E-02,600,3.10E-04
5.01E-02,600,5.90E-05
3.16E-02,600,7.40E-06
2.00E-02,600,3.70E-07
1.26E-02,600,4.80E-09
7.94E+00,700,3.60E-03
5.01E+00,700,5.20E-03
3.16E+00,700,7.60E-03
2.00E+00,700,9.20E-03
1.26E+00,700,1.00E-02
7.94E-01,700,9.90E-03
5.01E-01,700,8.10E-03
3.16E-01,700,5.20E-03
2.00E-01,700,2.90E-03
1.26E-01,700,1.00E-03
7.94E-02,700,2.40E-04
5.01E-02,700,3.50E-05
3.16E-02,700,2.40E-06
2.00E-02,700,3.30E-08
1.26E-02,700,7.20E-11
7.94E+00,800,4.40E-03
5.01E+00,800,6.20E-03
3.16E+00,800,7.90E-03
2.00E+00,800,9.70E-03
1.26E+00,800,1.10E-02
7.94E-01,800,9.90E-03
5.01E-01,800,7.80E-03
3.16E-01,800,4.80E-03
2.00E-01,800,2.60E-03
1.26E-01,800,8.70E-04
7.94E-02,800,1.70E-04
5.01E-02,800,1.80E-05
3.16E-02,800,8.00E-07
2.00E-02,800,8.10E-09
1.26E-02,800,1.90E-11
7.94E+00,900,4.40E-03
5.01E+00,900,6.10E-03
3.16E+00,900,8.70E-03
2.00E+00,900,1.10E-02
1.26E+00,900,1.20E-02
7.94E-01,900,1.10E-02
5.01E-01,900,8.40E-03
3.16E-01,900,5.10E-03
2.00E-01,900,2.30E-03
1.26E-01,900,6.90E-04
7.94E-02,900,1.30E-04
5.01E-02,900,1.70E-05
3.16E-02,900,1.70E-06
2.00E-02,900,7.50E-08
1.26E-02,900,9.70E-10
7.94E+00,1000,4.90E-03
5.01E+00,1000,6.80E-03
3.16E+00,1000,8.90E-03
2.00E+00,1000,1.10E-02
1.26E+00,1000,1.10E-02
7.94E-01,1000,1.10E-02
5.01E-01,1000,8.10E-03
3.16E-01,1000,4.80E-03
2.00E-01,1000,2.10E-03
1.26E-01,1000,6.80E-04
7.94E-02,1000,1.30E-04
5.01E-02,1000,1.50E-05
3.16E-02,1000,8.20E-07
2.00E-02,1000,9.50E-09
1.26E-02,1000,2.40E-11
