# Data is extracted by Sho Iwamoto from
# Figure 2 of https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-19/hepdata_info.pdf
# with the file creation date 2022-01-05T19:01:53+00:00.
Chargino lifetime [ns],Chargino mass [GeV],Acceptance times Efficiency
7.94E+00,100,2.40E-04
5.01E+00,100,3.70E-04
3.16E+00,100,5.50E-04
2.00E+00,100,7.30E-04
1.26E+00,100,9.20E-04
7.94E-01,100,1.20E-03
5.01E-01,100,1.30E-03
3.16E-01,100,1.30E-03
2.00E-01,100,1.10E-03
1.26E-01,100,6.80E-04
7.94E-02,100,3.60E-04
5.01E-02,100,1.40E-04
3.16E-02,100,3.80E-05
2.00E-02,100,6.10E-06
1.26E-02,100,5.50E-07
7.94E+00,200,8.00E-04
5.01E+00,200,1.20E-03
3.16E+00,200,1.80E-03
2.00E+00,200,2.40E-03
1.26E+00,200,3.10E-03
7.94E-01,200,3.60E-03
5.01E-01,200,3.60E-03
3.16E-01,200,3.00E-03
2.00E-01,200,2.10E-03
1.26E-01,200,1.20E-03
7.94E-02,200,4.90E-04
5.01E-02,200,1.60E-04
3.16E-02,200,3.40E-05
2.00E-02,200,3.50E-06
1.26E-02,200,1.50E-07
7.94E+00,300,1.50E-03
5.01E+00,300,2.30E-03
3.16E+00,300,3.10E-03
2.00E+00,300,3.90E-03
1.26E+00,300,4.80E-03
7.94E-01,300,5.30E-03
5.01E-01,300,4.90E-03
3.16E-01,300,3.80E-03
2.00E-01,300,2.60E-03
1.26E-01,300,1.20E-03
7.94E-02,300,4.10E-04
5.01E-02,300,8.90E-05
3.16E-02,300,1.10E-05
2.00E-02,300,5.20E-07
1.26E-02,300,8.50E-09
7.94E+00,400,2.50E-03
5.01E+00,400,3.60E-03
3.16E+00,400,4.60E-03
2.00E+00,400,5.90E-03
1.26E+00,400,6.90E-03
7.94E-01,400,6.80E-03
5.01E-01,400,6.10E-03
3.16E-01,400,4.60E-03
2.00E-01,400,2.90E-03
1.26E-01,400,1.30E-03
7.94E-02,400,3.90E-04
5.01E-02,400,7.50E-05
3.16E-02,400,7.90E-06
2.00E-02,400,3.60E-07
1.26E-02,400,1.00E-08
7.94E+00,500,2.70E-03
5.01E+00,500,4.00E-03
3.16E+00,500,5.80E-03
2.00E+00,500,7.30E-03
1.26E+00,500,8.30E-03
7.94E-01,500,8.00E-03
5.01E-01,500,6.90E-03
3.16E-01,500,4.80E-03
2.00E-01,500,3.00E-03
1.26E-01,500,1.20E-03
7.94E-02,500,3.00E-04
5.01E-02,500,4.80E-05
3.16E-02,500,4.00E-06
2.00E-02,500,1.00E-07
1.26E-02,500,6.30E-10
7.94E+00,600,3.40E-03
5.01E+00,600,4.80E-03
3.16E+00,600,6.40E-03
2.00E+00,600,7.90E-03
1.26E+00,600,9.00E-03
7.94E-01,600,9.30E-03
5.01E-01,600,7.90E-03
3.16E-01,600,5.40E-03
2.00E-01,600,3.00E-03
1.26E-01,600,1.30E-03
7.94E-02,600,3.40E-04
5.01E-02,600,6.80E-05
3.16E-02,600,9.30E-06
2.00E-02,600,5.10E-07
1.26E-02,600,6.80E-09
7.94E+00,700,3.90E-03
5.01E+00,700,5.60E-03
3.16E+00,700,7.90E-03
2.00E+00,700,9.50E-03
1.26E+00,700,1.10E-02
7.94E-01,700,1.10E-02
5.01E-01,700,8.60E-03
3.16E-01,700,5.60E-03
2.00E-01,700,3.00E-03
1.26E-01,700,1.10E-03
7.94E-02,700,2.50E-04
5.01E-02,700,3.70E-05
3.16E-02,700,2.60E-06
2.00E-02,700,3.70E-08
1.26E-02,700,9.90E-11
7.94E+00,800,4.70E-03
5.01E+00,800,6.50E-03
3.16E+00,800,8.60E-03
2.00E+00,800,1.00E-02
1.26E+00,800,1.10E-02
7.94E-01,800,1.10E-02
5.01E-01,800,8.40E-03
3.16E-01,800,5.20E-03
2.00E-01,800,2.80E-03
1.26E-01,800,9.50E-04
7.94E-02,800,1.80E-04
5.01E-02,800,1.90E-05
3.16E-02,800,8.20E-07
2.00E-02,800,7.90E-09
1.26E-02,800,1.70E-11
7.94E+00,900,4.80E-03
5.01E+00,900,6.60E-03
3.16E+00,900,9.30E-03
2.00E+00,900,1.10E-02
1.26E+00,900,1.20E-02
7.94E-01,900,1.10E-02
5.01E-01,900,8.90E-03
3.16E-01,900,5.50E-03
2.00E-01,900,2.50E-03
1.26E-01,900,7.50E-04
7.94E-02,900,1.40E-04
5.01E-02,900,1.70E-05
3.16E-02,900,1.60E-06
2.00E-02,900,6.60E-08
1.26E-02,900,8.50E-10
7.94E+00,1000,5.20E-03
5.01E+00,1000,7.20E-03
3.16E+00,1000,9.40E-03
2.00E+00,1000,1.10E-02
1.26E+00,1000,1.20E-02
7.94E-01,1000,1.10E-02
5.01E-01,1000,8.60E-03
3.16E-01,1000,5.10E-03
2.00E-01,1000,2.20E-03
1.26E-01,1000,7.20E-04
7.94E-02,1000,1.40E-04
5.01E-02,1000,1.60E-05
3.16E-02,1000,8.20E-07
2.00E-02,1000,8.80E-09
1.26E-02,1000,2.10E-11
